species,species_common_name,gene_symbol,gene_aliases,major_cell_type,cell_subtype,marker_direction,tissue,condition,assay,confidence,bbsr_verified,submitter,notes,source_title,citation,doi,pmid,url,evidence_type,evidence_location,evidence_note
Homo sapiens,human,CD19,,B cell,,positive,,,CITE-seq,high,False,,Canonical B-lineage marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by RNA and protein biomarker analysis in human PBMC
Homo sapiens,human,MS4A1,,B cell,,positive,,,CITE-seq,high,False,,CD20-encoding B-lineage marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by RNA and protein biomarker analysis in human PBMC
Homo sapiens,human,CD79A,,B cell,,positive,,,CITE-seq,high,False,,B-cell receptor complex marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by RNA and protein biomarker analysis in human PBMC
Homo sapiens,human,CD79B,,B cell,,positive,,,CITE-seq,high,False,,B-cell receptor complex marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by RNA and protein biomarker analysis in human PBMC
Homo sapiens,human,CD22,,B cell,,positive,,,CITE-seq,high,False,,B-cell surface receptor marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by RNA and protein biomarker analysis in human PBMC
Homo sapiens,human,CD74,,B cell,,positive,,,scRNA-seq,moderate,False,,MHC class II-associated B-cell marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by RNA biomarker analysis in human PBMC
Homo sapiens,human,TCL1A,,B cell,transitional B cell,positive,blood,,scRNA-seq,high,False,,Immature and transitional B-cell program,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Subset supported by multi-omic marker patterns in healthy human B cells
Homo sapiens,human,CD24,,B cell,transitional B cell,positive,blood,,CITE-seq,high,False,,Transitional B-cell surface marker,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Subset supported by multi-omic marker patterns in healthy human B cells
Homo sapiens,human,CD38,,B cell,transitional B cell,positive,blood,,CITE-seq,moderate,False,,High surface expression supports transitional identity,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Interpret with CD24 and other B-cell markers
Homo sapiens,human,IGHD,,B cell,transitional B cell,positive,blood,,scRNA-seq,moderate,False,,Unswitch immunoglobulin program,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Interpret with maturation markers
Homo sapiens,human,TCL1A,,B cell,naive B cell,positive,blood,,scRNA-seq,high,False,,Naive B-cell transcriptional marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,IGHD,,B cell,naive B cell,positive,blood,,scRNA-seq,high,False,,Naive unswitched immunoglobulin marker,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,FCER2,,B cell,naive B cell,positive,blood,,CITE-seq,high,False,,CD23-encoding naive B-cell marker,An Integrated Multi-omic Single-Cell Atlas of Human B Cell Identity,Glass et al. Immunity. 2020;53:217-232.e5,10.1016/j.immuni.2020.06.013,32668225,https://pubmed.ncbi.nlm.nih.gov/32668225/,reported_marker,Figures 1-6 and supplemental tables,Subset supported by multi-omic marker patterns in healthy human B cells
Homo sapiens,human,IL4R,,B cell,naive B cell,positive,blood,,scRNA-seq,moderate,False,,Naive B-cell-associated receptor,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Supported by human PBMC biomarker analysis
Homo sapiens,human,BACH2,,B cell,naive B cell,positive,blood,,scRNA-seq,moderate,False,,Naive lymphocyte transcriptional regulator,Integrated analysis of multimodal single-cell data,Hao et al. Cell. 2021;184:3573-3587.e29,10.1016/j.cell.2021.04.048,34062119,https://pubmed.ncbi.nlm.nih.gov/34062119/,reported_marker,Figures 3-5 and Tables S1-S2,Use as part of a marker panel
